Drug Name,Drug ID,Strength,Pack Size,Price,Expiry Date,Batch Number,Manufacture Date,Country of Origin,Drug Interactions,Patient Age Group,Patient Gender,Patient Weight,Geographic Region,Sales Volume,Manufacturer,Generic Drug Name,Route of Adminstration,Storage Conditions,Prescription Required,Therapeutic Class,Dosage Form,Adverse Reactions
Azee,53117687-8e75-4a5c-9ee6-214dc99d7501,780,44,25.9,2027-10-31,26077521-5fff-4787-90a0-742fae339f13,2022-05-29,Switzerland,Which appear experience of value material.,Adult,Male,92,Jaipur,70,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Dolo-650,cd034bd8-eb76-4591-918c-c6d7f3ba4f1e,440,3,69.72,2026-01-04,483e6b86-d4a1-42fa-a682-f0b6f9af3c9d,2021-09-12,India,International ok treatment open treatment eye manage.,Adult,Male,84,Chennai,7,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Azee,72c5f808-c24c-43bc-a37a-e20119e58659,254,40,439.48,2025-04-16,026167e1-c266-4304-8fd7-15bcbabcc3f7,2019-03-16,Germany,Wrong well nice may raise road.,Elderly,Male,73,Kolkata,78,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Pantocid,54707665-e2da-496e-bda7-f2a59785ecbd,633,42,392.85,2024-05-20,de39c145-7832-4955-8387-36166b866b4a,2019-11-16,Germany,Look add yet story.,Pediatric,Male,85,Ahmedabad,26,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Dolo-650,595268d8-33ef-4a18-817b-b9deb05e0d9b,157,4,251.49,2026-06-05,aed34a8e-0c09-42f5-b7b0-186df12a6a6f,2023-09-03,United States,Similar open trip amount always also.,Adult,Female,66,Mumbai,31,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Dolo-650,acecca85-883d-4fd3-990e-638fc7d231bd,747,48,479.3,2026-05-03,47036b5b-01d7-4a7b-8e6e-e4b1367311ea,2021-09-04,Germany,Their play image down describe probably contain.,Pediatric,Male,80,Hyderabad,76,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Crocin,9f10a8ab-df4a-4544-8a80-894d7f7feb15,524,16,280.81,2025-10-01,9fd758de-fbcc-4db5-8e0f-14573386ef96,2023-02-18,Germany,Attorney various possible themselves few.,Pediatric,Male,54,Bangalore,12,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Amoxyclav,808f0dd9-85db-41da-acb7-3d811ae6b040,192,45,476.89,2025-07-10,6649760b-98fa-4c76-ba32-a60056e7ce86,2022-01-28,United States,Yard describe consumer style television threat pass.,Adult,Female,100,Pune,81,GlaxoSmithKline Pharmaceuticals Limited,Amoxicillin + Clavulanic Acid,Oral,cold,yes,Blood pressure medications,Liquid,Drowsiness
Combiflam,54f35867-3f1b-4acc-ab9e-b90c53ba11bb,256,36,356.89,2026-09-03,f4c0a811-7e1c-45d4-aeb6-80d189e4a835,2023-11-05,Germany,Future loss take approach physical lawyer.,Adult,Male,92,Kolkata,87,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Dolo-650,cd67284b-c3c8-4b18-be86-877149b75a87,288,1,72.18,2025-04-29,c170e825-0ce6-426d-bbc1-2b0d2d3de6e1,2020-04-19,Germany,Bad although adult left Mr lose management his.,Adult,Female,61,Hyderabad,26,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Pantocid,44f43c1b-025b-4bae-8077-2eb922e0f2de,786,10,366.79,2025-03-08,f9f7c3aa-65bf-4bc5-ad04-eb06f8c58b7f,2019-10-04,Germany,Which public fall paper.,Pediatric,Female,87,Delhi,64,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Combiflam,63ec0a55-fbab-4cee-8ba3-8a1457746bbf,118,7,216.59,2028-09-21,585751a9-c33b-48bf-ab3e-ac33e59f2b69,2021-07-21,India,Discover pass test democratic realize.,Adult,Female,76,Mumbai,28,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Omez,47e5c601-d15c-458a-a5b8-cc20701436af,885,19,459.21,2029-03-08,3c8181db-e05c-4a68-a79c-ee2dc800625e,2019-09-11,United States,Movement capital party economic reality expert.,Adult,Female,57,Mumbai,18,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Atorva,838c6664-f26b-4268-81a6-5201d3347502,270,25,146.11,2025-03-20,420f9d1d-45c0-47f9-bbb9-11f48f3a3209,2020-08-17,Switzerland,Dark discuss factor mean new throughout.,Adult,Female,85,Chennai,52,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Dolo-650,4464f25e-c671-4d79-b642-09c0fba03152,718,11,17.04,2024-10-28,1aacc118-d072-4ff4-b0e8-77f4434582b6,2023-02-04,United States,Card author answer car.,Pediatric,Female,52,Pune,83,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Combiflam,65acb7af-c244-4264-b8e4-14892c3a32a0,254,37,466.53,2027-07-12,1aefd9ac-66f1-4a82-9eec-dbb3675c169c,2022-12-06,United States,Answer surface yourself enough must day sea.,Adult,Male,64,Bangalore,42,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Crocin,02ae2c1f-507b-4732-98f2-842a8d6866fa,683,26,125.12,2026-07-27,adad5811-4406-4f84-9d74-99f42d49db1f,2021-01-24,Germany,New response computer here establish total.,Elderly,Male,62,Ahmedabad,29,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Pantocid,79ee6020-5d59-4b21-8a9f-c52101c8fd8a,841,5,339.57,2024-03-31,4149a742-193a-4c4c-ad08-7d7207eee89c,2020-01-12,India,Head seat dinner coach series or eat line.,Adult,Female,59,Ahmedabad,6,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Dolo-650,8d554544-fe6c-47ae-b0de-02450e317f84,440,15,193.73,2024-11-20,0e5ffba8-38b5-4cca-b542-c9dbff0ba7ca,2022-11-20,India,Word whom few require level.,Pediatric,Male,69,Pune,53,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Azee,3e144d27-5685-4b32-a60a-ed2fbf0c9519,204,25,200.16,2028-06-28,2b296f95-6a07-4d23-b002-5aca65c590ad,2023-05-11,India,Move foreign eye political.,Elderly,Male,58,Hyderabad,5,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Ciplox,54ffa566-492a-4a21-ac95-fbf953b2e088,486,30,452.18,2025-03-04,48feb724-6808-4568-a710-d54652cc6368,2023-11-20,Switzerland,Particular agree my.,Pediatric,Female,97,Ahmedabad,93,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Dolo-650,96242a59-092f-4c49-b6ce-10adef5e2833,724,43,446.62,2026-03-06,e4c8b3c9-64d5-4c24-b1b3-45e588f80ebe,2020-10-26,Switzerland,Of race age perhaps argue respond.,Elderly,Male,94,Bangalore,10,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
